time,type,mark
5579.670256612625,0,4.0
5598.242346969253,1,2.0
5627.007172726398,0,3.0
5640.17759425966,1,5.0
5644.91516523417,1,1.0
5649.5691153404105,0,3.0
5671.854415029989,0,1.0
5681.707326363529,1,2.0
5683.394143227443,1,3.0
5718.165147033621,1,5.0
5722.83775547058,1,5.0
5727.1704467366535,1,3.0
5733.631309940298,1,2.0
5743.9207272264375,1,2.0
5747.159769592342,0,3.0
5747.161950090331,1,4.0
5766.530540166857,0,1.0
5785.382322248188,0,1.0
5790.01797734194,0,2.0
5801.854242592614,0,2.0
5802.572891560466,0,2.0
5805.659597351881,0,1.0
5809.686173118301,1,5.0
5826.077084670642,1,5.0
5830.385912228067,1,2.0
5887.267072233518,1,4.0
5887.270313692513,1,2.0
5943.400691271356,0,3.0
5959.757467148696,0,2.0
5970.723433126322,1,5.0
5971.552301498352,1,5.0
5971.55368832236,0,3.0
5986.920369811498,0,1.0
5987.606697048849,0,2.0
5997.399451549652,1,4.0
5997.408609570134,1,3.0
5997.495652971166,0,3.0
5999.427821065617,1,5.0
6003.936078046312,1,2.0
6046.56955931858,1,4.0
6046.60236361131,1,5.0
6046.603778590978,1,5.0
6046.61435651335,0,1.0
6046.6156741875175,0,2.0
6046.669746347998,0,3.0
6046.821183390226,1,4.0
6046.969402908057,0,2.0
6051.580002928886,1,5.0
6055.849136400221,1,3.0
6055.994666086748,0,2.0
6073.557599244768,1,5.0
6076.915937143699,1,2.0
6082.142059179004,0,4.0
6100.056133985784,1,4.0
6109.906533915101,1,5.0
6113.017407216486,1,5.0
6114.689419867045,1,5.0
6119.064336012955,0,2.0
6120.266477189538,1,1.0
6122.799483172823,0,3.0
6122.811761101867,1,2.0
6123.128224807555,0,4.0
6123.129837198921,1,1.0
6123.169291919114,1,3.0
6132.091446482984,1,3.0
6134.235063213282,0,5.0
6145.919091128621,1,2.0
6161.803199322951,0,1.0
6168.331903602428,1,3.0
6180.937770375367,1,4.0
6181.97856845692,0,1.0
6189.395238440586,0,1.0
6190.290085705915,1,4.0
6199.653669812735,0,1.0
6212.863195396761,1,1.0
